Bobby Demonfang
Bataar Moks
Biggie Smols
Blackjack Rooks
Bela Kalli
Bera Shiro
Baka Brynd
Bayar Noykin
Baka Hoku
B'raht Magol
Brain Rot
Breanainn Conn
Beatin Dubois
Bowls-o Noods
Bearded Mushu
Brac Dawg
Blue Ryokyo
Belle Reve
Bree Chi
Boss Bowser
Barrett Marshall
Bigneko Senpai
Baonnn Vuon
Bradelz X'o
Blossoming Camellia
Bat Knight
Bazdonax Dumaul
Buttered Stuff
Bird Tho
Bartu Mankhad
Bojana Icefang
Babs O'hare
Bitter Fox
Blacklight Starbow
Blaque Katt
Blade Belson
Bunny Elkrose
B'rohk Calleen
Bonez Schroeder
Bandin Allhope
Bjel Sjadarwesfv
Bahamut's Lance
