Alaric Xenos
Alvont Gaulloux
Astra Ariadne
Arreis Draganiuk
Asahi Sus'brutus
Ashe Blackthorne
Aine Tanwen
Ajan Thaljun
Archangel Oborin
Alanna Lael
Aoki Hime
Astra Valoria
Ak Dulto
Archangel Azryil
Alexis Catian
Albii Gardner
Alteron Siegfried
Armet Daraco
Astuce Fortissimo
Ascilla Arianrhod
Eo Nomine
Ember Hagan
Eperdia Bluefox
Etsunetsu Tykha
Elior Whytewing
Every'knee Shall'bow
Eris Boreas
Esmeray Elakha
Ethernity Vix
Elaine Sunshine
Enco Wito
Ezolm Nihilio
Elysian Pierce
Erika Jareau
Elra Laj
Enzo Okami
Esdeath Gremory
Eivka Trismegestos
Eloise Greystone
Elrora Leodove
Ellie Katagiri
Esti Varlindeau
Emma Slays
Eli Klash
Elodin M'n
Ebony Anvil
Ezekk Sulviarri
Estinien Varlineau
Eion Risk
Estinien Wyrm'blood
Enji Nakatomi
