Lin Fith
Lee Thality
Leo Rose
Lynei Nightwind
Lee Srednuas
Lucie Blackwillow
Leon Parthane
Legato Blu'summers
Lillian Eve
Lucian Feras
Lily Faye
Loveday Valentine
Leviathan Lunaris
Luruca Ruca
Lunar Moonbeam
Lili Lilbit
Legion Pendragon
Lustre Solaris
Lorsea Stargrazer
Lenora Hope
Lutz Lampard
Laila Lostlight
Lily Tenshi
Lua Flora
Lalanxe Deaninte
Lucia Yamagishi
Lumeria De'borel
Lambert Glover
Lord Acomitzli
Little-bad Wolf
Luna Pyrelight
Lashara Shellkey
Luna Solterra
Lulu Miko
Lali Who
Luxe Brightwisher
Lali What
Luca Sol
Lilium Vulpes
Luna Cosmos
Lucere De'vil
Lonewoerd Sillvas
Liliru Liru
Leo Fire
Liv Morgan
Lecarra Troy
Lilizzi Lizzi
Lyre Ymir
Lorenzovon Matterhorn
Lilja Shadoehart
Lux Suri
Lavender Fish
Lalanu Lanu
Layna Lito
Lucious Lunaire
Lojt Rehw-gilda
Lysthia Sunrisen-nyxt
Lord Mfalme
Lucis-sparda Redgrave
Linia Aevis
Luna Hoku
Livid Reptar
Lamiya Obinata
Luna Celestial
Lexa Dri
Lilac Arda
Liilii Lii
Lilac Nightmare
Lilaesa Sovet
Local Mao
Lillis Saphyr
Luna South
Lyh'nn Tayuun
Licht Bach
Liehild Relanah
Lovisa Quinn
Leih Awandah
Leiko Lune
