Lemony Thiccet
Leo Rose
Lynei Nightwind
Lee Srednuas
Legato Blu'summers
Lillian Eve
Lucian Feras
Lily Faye
Loveday Valentine
Leviathan Lunaris
Luruca Ruca
Lunar Moonbeam
Legion Pendragon
Lustre Solaris
Lorsea Stargrazer
Lenora Hope
Lutz Lampard
Laila Lostlight
Lily Tenshi
Little-bad Wolf
Lexina Hildr
Lili Lilbit
Lalanxe Deaninte
Lucia Yamagishi
Lua Flora
Lumeria De'borel
Lee Thality
Lord Acomitzli
Lyre Ymir
Lulu Miko
Luna Solterra
Lashara Shellkey
Lali Who
Luxe Brightwisher
Lali What
Luca Sol
Lilium Vulpes
Lucere De'vil
Lonewoerd Sillvas
Leo Fire
Lambert Glover
Luna Pyrelight
Liv Morgan
Lecarra Troy
Liliru Liru
Lilizzi Lizzi
Lorenzovon Matterhorn
Lilja Shadoehart
Lux Suri
Lavender Fish
Layna Lito
Lalanu Lanu
Luz Bajhiri
Lucious Lunaire
Lojt Rehw-gilda
Lord Mfalme
Lysthia Sunrisen-nyxt
Lucis-sparda Redgrave
Linia Aevis
Luna Hoku
Layton Quieten
Livid Reptar
Lamiya Obinata
Luna Celestial
Lexa Dri
Lilac Arda
Liilii Lii
Lilac Nightmare
Local Mao
Lillis Saphyr
Luna South
Lyh'nn Tayuun
Licht Bach
Liehild Relanah
Lovisa Quinn
Lilaesa Sovet
Leih Awandah
Leiko Lune
