Rorimu Kogrimu
Rainey Leonhart
Raven Darkholmes
Rael Jgnewesfv
Rowan Telvan
Rose Syvinsnoewyn
Rkaneus Winds
Rasmus Vox
Rosie Reign
Reven Wraithblades
Ryllandras Bloodfang
Riton Alorac
Regit Osian
Reyn Nieve
Rayne Valentine
Rouge Eryut
Rukari Kitsune
Ryuji Gakunin
Rubh Dakwhil
Rei Kita
Rei'liana Kha
Ryu Tsuki
Rosie Lily
Runir Bloodpaw
Rai Dolabnha
Rivin Darkhart
Rhaya Tiziri
Radiant Heart
Rael Feywood
Rin Takanashi
Rowena Dawn
Raigeki Kai
Rune Lund
Razor Abysa
Rare Ninetytwo
Rhag Dholl
Ryuko Murasaki
Reina Vogel
Rai Frenchfrai
Roke Olkund
Raeviane Aurelie
Ronia Atoel
Rindelor Nawtyit
Rainer Lighthawk
Roland Murva
Ren Dre-ki
Reh Lightbringer
Remmie Urich
Raven Raijin
Rhaegar Gwyn
Ryn Aegis
Ritzelgold Merryfoot
Riku Sakai
Reze Mara
Reyna Alunae
Rini Rini
Runa Solvi
Rem Djt-nong
Rue Ryndarien
Ren Ghar
Rohin Synslayer
R'aliam Tia
Rabbi Mc'rabbitus
Rika Paprika
Raegyr Chimoru
Rae Lucern
Richard Gee
Ririquwe Leleguwe
R'aine Romero
River Blackthorn
Ravi Lavellan
Rei Sohma
Raine Higashi
Rheo Statik
R'aktrin Arian
R'xule Vimba
Raz Rysto
Reginald Lightheart
Rhaya'a Lihzeh
Radigost Yorvasch
Rion Krauz
Revna Dex
