Vexis Squarepants
Valliant Bear
Violet Miyumi
Vjera Kiselyov
Voland L'enchante
Vivia Hana
Valerian Durand
Violet Murasaki
Vanja Blackwood
Veris Dareiel
Vee Li
Venra Selrost
Vidar Rehw-marouc
Voyce Walker
Vedek Duck
Vyncent Reed
Valentyne Gucuma
Valtiore Zepure
V'azih Tia
Viola Underwood
Vamp' Tetracyline
Vachon Nazzir
Vash The'stampede
Vinei Jan
Vernox Arvaneer
Vamkinja Urich
Valo Smooth
Valhra Elst-ven
Valindra Devries
Vera Vanren
Vivian Hallows
Vorun Ysir
Veridian Mage
Vyncento Carmina
Varis Valencia
Vakari Lionsong
Violet Moonshadow
