Gordo Pantera
Ghost Luminous
Godrick Sawyer
Gaia Vermilion
Gem Bloodstone
Gold Mary
Garrtrex Augus
Ginger Rose
Gan Bun
G'herkin Azura
Garwyn Fieldsworth
Gare Adose
Geas Plegia
Grifter Bragra
Gypsy Tonic
Genibo Riverbottom
Gelure Muscadet
Gwyneth Berdaras
Galle Od
Get Berserk
Guy Anetto
Guyug Dalamiq
Gigantus Dong
Gild Tsudori
Girl Mcgun
Girtheus Maximus
Galatea Toha
Grim Fang
Grant Wise
Gloam Blackmoon
Gagnon Smigg
Grevie Carvalho
Gabriel Baines
Gawain Reeve
Gael Valstoc
Grishild Blackstone
Giffany Lumi
Gen'ryu Ardawesfv
Gerralt Winterpaw
Gabrielle Speare
Gtenpe Tia
