Lucian Feras
Lucere De'vil
Lynei Nightwind
Lee Srednuas
Little-bad Wolf
Legato Blu'summers
Lillian Eve
Lily Faye
Lunar Moonbeam
Loveday Valentine
Luna Cosmos
Leviathan Lunaris
Lady Gagafell
Luruca Ruca
Labi Lionne
Leo Rose
Legion Pendragon
Lustre Solaris
Lorsea Stargrazer
Lenora Hope
Lutz Lampard
Laila Lostlight
Lily Tenshi
Lila Lux
Lalanxe Deaninte
Lee Thality
Lili Lilbit
Lumeria De'borel
Lord Acomitzli
Lyre Ymir
Lambert Glover
Luna Solterra
Lali Who
Luxe Brightwisher
Lali What
Luca Sol
Lilium Vulpes
Lonewoerd Sillvas
Luna Pyrelight
Liv Morgan
Lecarra Troy
Lilizzi Lizzi
Lorenzovon Matterhorn
Lun'ir Sun
Lilja Shadoehart
Lux Suri
Lavender Fish
Layna Lito
Lalanu Lanu
Licht Bach
Lucious Lunaire
Lemony Thiccet
Lord Mfalme
Lysthia Sunrisen-nyxt
Lilac Arda
Luz Bajhiri
Leandro Corinaute
Lucis-sparda Redgrave
Linia Aevis
Luna Hoku
Livid Reptar
Lamiya Obinata
Luna Celestial
Lexa Dri
Liehild Relanah
Liilii Lii
Local Mao
Lillis Saphyr
Luna South
Lilaesa Sovet
Lyh'nn Tayuun
Lovisa Quinn
Leih Awandah
Leiko Lune
