Valliant Bear
Violet Miyumi
Vjera Kiselyov
Vorun Ysir
Vivia Hana
Violet Murasaki
Valerian Durand
Veris Dareiel
Vanja Blackwood
Vee Li
Venra Selrost
Vivian Waffles
Vidar Rehw-marouc
Voyce Walker
Vedek Duck
Vyncent Reed
Valentyne Gucuma
Valtiore Zepure
V'azih Tia
Valtemont Galvus
Viola Underwood
Vamp' Tetracyline
Vexis Squarepants
Vachon Nazzir
Vinei Jan
Vernox Arvaneer
Vamkinja Urich
Valo Smooth
Viri Sovari
Valhra Elst-ven
Valindra Devries
Vera Vanren
Vivian Hallows
Vash The'stampede
Veridian Mage
Voland L'enchante
Vakari Lionsong
Violet Moonshadow
