Katla Laki
Kelgo Ralalgo
Kaiji Archaius
Kondai Higinzu
Kelsier Hathsin
Kolbi Tayalbi
Kaziem Tanzinite
Key Kat
Kyani Frostwyght
Koruri Godo
Kou Kitamura
Koko Gesi
Kirbee Zephyr
K'raika Hineko
Katana Todoroki
Kandie Kaine
Kassy Belle
Kadrix Dawson
Kaelyn Forte
Kilyn Dazeiros
Kara James
Kisa Sohma
Karros Xaeyn
Kains Haels
Kezira Lothaire
Kaien Solace
King Cold
Kitten Tiny-fluffs
Kira Cainhurst
Kuro Noire
Koffee Kat
K'arleen Winters
Khalan Kahkol
Karna Stormbreaker
Kayo Oh'hi
Kalidon Chaak
Keomi Tsudori
Kehr Mhor
Kimiku Miku
Kyra Yates
Kris Luna
Kana Yuki
Kiyo Himemitsu
Kaiba Ackerman
Kuon Shizaki
Kyu Hakuuchi
Kiane Delaine
Kukuro Yutsu
Kaylestera Yscaret
Kayda Autumn
Kenny Stanko
Killinme Smalls
Kelonne Mevru
K'lementine Tyata
Kell Bloodfist
Kyra Skylar
K'thal Nuoh
Kikira Kita
Kallisto Vayne
Kao Tanoshii
Kyne Icewind
Kinnison Tyrael
Kosu Aliapoh
Kukki Chebukki
Krin Kirin
Kuri Gugoza
Kai Haku
Kan Tsuna
Kayn Dotharl
Kophi Bean
Kess Alcove
K'aida Emmi
Kume Tabito
Kat Mewrilah
Kiyona Wildclaw
Kojiro Ymir
Kitten South
Kaiyne Ardyn
Kaze Haru
Kiria Valentine
Keth Revajak
Kongnamul Gukbap
Kaybin Ro'kross
Kaede Yumite
Kuro Okami
Kuroi Tsuki
Kyukanba Melanba
