Lucere De'vil
Liokki Rehw-dvre
Lynei Nightwind
Legato Blu'summers
Little-bad Wolf
Lovella Savoy
Lady Gagafell
Loveday Valentine
Lillian Eve
Lily Faye
Lambert Glover
Lunar Moonbeam
Leviathan Lunaris
Luruca Ruca
Labi Lionne
Leo Rose
Lenora Hope
Lutz Lampard
Laila Lostlight
Legion Pendragon
Lustre Solaris
Lorsea Stargrazer
Lucia Yamagishi
Lalanxe Deaninte
Lee Thality
Lumeria De'borel
Lord Acomitzli
Lili Lilbit
Lyre Ymir
Lily Tenshi
Luna Solterra
Luxe Brightwisher
Lali Who
Lali What
Luca Sol
Lonewoerd Sillvas
Lilac Arda
Luna Pyrelight
Liv Morgan
Lecarra Troy
Lilizzi Lizzi
Luna Cosmos
Lorenzovon Matterhorn
Lun'ir Sun
Lilja Shadoehart
Lux Suri
Lavender Fish
Layna Lito
Lalanu Lanu
Lucious Lunaire
Lila Lux
Lyh'nn Tayuun
Lemony Thiccet
Lord Mfalme
Luz Bajhiri
Lysthia Sunrisen-nyxt
Leandro Corinaute
Lucis-sparda Redgrave
Linia Aevis
Luna Hoku
Livid Reptar
Lamiya Obinata
Lexa Dri
Luna Celestial
Liehild Relanah
Liilii Lii
Local Mao
Lillis Saphyr
Luna South
Lalhi Lahli
Lilaesa Sovet
Lovisa Quinn
Leih Awandah
Leiko Lune
