Birth Defect
Bataar Moks
Biggie Smols
Blackjack Rooks
Bahamut's Lance
Bera Shiro
Bella Tanya
Bean Burrito
Boki Smoky
Blythe Brightwood
Brunnhildr Dragonborn
Bofa Dese
Bowls-o Noods
Brain Rot
Boss Bowser
Breanainn Conn
Beatin Dubois
Bird Tho
Bearded Mushu
Bleiswys Ostornwyn
Bree Chi
Bc Gotgame
Bebepolo Pipipolo
Byford Ceruleum
Bradelz X'o
Bigneko Senpai
Bela Kalli
Baonnn Vuon
Buttered Stuff
Blossoming Camellia
Big Boy
Bazdonax Dumaul
Baz' Peppercorn
Baby Puppy
Bojana Icefang
Bree Rose
Baka Hoku
Bunny Elkrose
Bandin Allhope
Baka Brynd
