Rockii Daiyo
Rocky Chicken
Rorimu Kogrimu
Rev Aeren
Rainey Leonhart
Reh Lightbringer
Raven Darkholmes
Riton Alorac
Ryllandras Bloodfang
Rose Syvinsnoewyn
Rasmus Vox
Rohin Synslayer
Regit Osian
Rayne Valentine
Rukari Kitsune
Rei Kita
Rei'liana Kha
Rubh Dakwhil
Rai Dolabnha
Rivin Darkhart
Ribbon Tyata
Rhaya Tiziri
Runir Bloodpaw
Rin Takanashi
Rune Lund
Raigeki Kai
Rowena Dawn
Razor Abysa
Rhag Dholl
Ryuko Murasaki
Rkaneus Winds
Reina Vogel
Rai Frenchfrai
Ronia Atoel
Rowan Telvan
Roke Olkund
Rainer Lighthawk
Raeviane Aurelie
Raging Ghost
Raven Raijin
Rhaegar Gwyn
Ryn Aegis
Remmie Urich
Ritzelgold Merryfoot
Reze Mara
Reyna Alunae
Rini Rini
Runa Solvi
Radiant Heart
Riku Sakai
Ren Ghar
Rabbi Mc'rabbitus
Rika Paprika
Ririquwe Leleguwe
Richard Gee
R'aine Romero
River Blackthorn
Rei Sohma
Ravi Lavellan
Rannalia Tafumi
Reginald Lightheart
R'xule Vimba
Raz Rysto
R'aktrin Arian
Reven Wraithblades
Rhaya'a Lihzeh
Rheo Statik
Radigost Yorvasch
Rion Krauz
Revna Dex
R'aliam Tia
